model,threshold,pr_auc,roc_auc,precision,recall,f1
Random Forest,0.5,0.8175914161561054,0.9356633325715893,0.98,0.6533333333333333,0.784
Gradient Boosting,0.5,0.7928019273782929,0.9685699720498531,0.7532467532467533,0.7733333333333333,0.7631578947368421
Logistic Regression,0.5,0.7451518557881155,0.981655562782358,0.04211187932118165,0.8933333333333333,0.08043217286914765
