model,threshold,pr_auc,roc_auc,precision,recall,f1
"Random Forest (tuned, class-weighted)",0.3,0.8097617043775317,0.9641050972395567,0.7763157894736842,0.7866666666666666,0.7814569536423841
MLP,0.9500000000000001,0.7987706191728569,0.9762134289615084,0.5172413793103449,0.8,0.6282722513089005
MLP (calibrated),0.2,0.7987706191728569,0.9762134289615086,0.875,0.7466666666666667,0.8057553956834532
