group,count,avg_amount,avg_model_confidence
True Negatives,56870,77.96359679971866,0.002843444469137638
False Positives,17,1592.19,0.5338786327761186
False Negatives,16,149.92437499999997,0.060547206029652634
True Positives,59,90.34694915254238,0.8489500990648156
